"Component","Sheet","Phase","Implementation","Status"
"GOV-01","Component List","Phase 1","stacks/00-governance","Implemented"
"GOV-02","Component List","Phase 2","stacks/00-governance","Reusable input"
"GOV-03","Component List","Phase 1","stacks/05-subscription-vending","Implemented"
"GOV-04","Component List","Phase 2","stacks/05-subscription-vending","Implemented"
"GOV-05","Component List","Phase 1","stacks/00-governance","Implemented"
"GOV-06","Component List","Phase 1","stacks/00-governance","Implemented"
"GOV-07","Component List","Phase 1","stacks/00-governance","Implemented"
"GOV-08","Component List","Phase 2","stacks/00-governance","Reusable input"
"GOV-09","Component List","Phase 1","stack locals and tfvars naming contracts","Implemented as convention"
"GOV-10","Component List","Phase 1","stacks/06-subscription-baseline and platform stacks","Implemented"
"GOV-11","Component List","Phase 2","stacks/06-subscription-baseline","Reusable input"
"GOV-12","Component List","Phase 1","stacks/00-governance and role-assignment modules","Implemented"
"GOV-13","Component List","Phase 2","stacks/06-subscription-baseline","Implemented with native budget resource"
"GOV-14","Component List","Phase 2","stacks/00-governance and stacks/05-subscription-vending","Reusable input"
"GOV-15","Component List","Phase 1","AVM lock interfaces and operational destroy contract","Implemented with contract"
"GOV-16","Deployment Order","Phase 1","stacks/00-governance","Reusable input"
"GOV-17","Deployment Order","Phase 1","stacks/00-governance","Reusable input"
"GOV-18","Deployment Order","Phase 1","stacks/05-subscription-vending","Reusable input"
"IAM-01","Component List","Phase 1","stacks/07-identity-groups","Implemented"
"IAM-02","Component List","Phase 1","stacks/00-governance","Implemented"
"IAM-03","Component List","Phase 1","stacks/03-privileged-access","Implemented"
"IAM-04","Component List","Phase 1","stacks/03-privileged-access","Implemented with manual account contract"
"IAM-05","Component List","Phase 1","stacks/08-workload-identity","Implemented"
"IAM-06","Component List","Phase 1","stacks/30-workload-spoke","Implemented"
"IAM-07","Component List","Phase 1","stacks/22-directory-services","Implemented with AD promotion contract"
"IAM-08","Component List","Phase 1","stacks/03-privileged-access","Operational contract"
"IAM-09","Deployment Order","Phase 1","identity federation validation contract","Operational contract"
"NET-01","Component List","Phase 1","IPAM inputs consumed by network stacks","Implemented as input contract"
"NET-02","Component List","Phase 1","stacks/20-connectivity","Implemented"
"NET-03","Component List","Phase 1","stacks/20-connectivity","Implemented"
"NET-04","Component List","Phase 1","stacks/20-connectivity","Implemented"
"NET-05","Component List","Phase 1","stacks/20-connectivity","Implemented"
"NET-06","Component List","Phase 1","stacks/20-connectivity","Implemented"
"NET-07","Component List","Phase 2","stacks/20-connectivity","Reusable input"
"NET-08","Component List","Phase 1","stacks/20-connectivity","Implemented"
"NET-10","Component List","Phase 1","stacks/21-palo-alto","Implemented"
"NET-11","Component List","Phase 1","stacks/21-palo-alto","Implemented with bootstrap content contract"
"NET-12","Component List","Phase 1","stacks/21-palo-alto","Operational contract"
"NET-13","Component List","Phase 1","stacks/20-connectivity","Implemented"
"NET-14","Component List","Phase 1","stacks/20-connectivity","Implemented"
"NET-15","Component List","Phase 1","stacks/20-connectivity and stacks/30-workload-spoke","Implemented"
"NET-16","Component List","Phase 1","stacks/20-connectivity and stacks/30-workload-spoke","Implemented"
"NET-17","Component List","Phase 2","stacks/40-phase2-connectivity","Implemented"
"NET-18","Component List","Phase 1","stacks/20-connectivity","Implemented"
"NET-19","Component List","Phase 1","stacks/24-expressroute","Implemented with carrier contract"
"NET-20","Component List","Phase 2","stacks/40-phase2-connectivity","Implemented"
"NET-21","Component List","Phase 2","stacks/40-phase2-connectivity","Implemented"
"NET-22","Component List","Phase 1","stacks/20-connectivity and stacks/30-workload-spoke","Implemented"
"NET-23","Component List","Phase 1","stacks/30-workload-spoke","Reusable input"
"NET-24","Component List","Phase 1","stacks/30-workload-spoke","Reusable input"
"NET-25","Component List","Phase 2","stacks/30-workload-spoke","Reusable input"
"NET-26","Component List","Phase 1","stacks/20-connectivity","Implemented"
"NET-27","Component List","Phase 1","stacks/22-directory-services","Implemented with DNS contract"
"NET-28","Component List","Phase 1","stacks/22-directory-services","Operational contract"
"NET-29","Component List","Phase 1","stacks/25-private-endpoints and embedded PE modules","Implemented"
"NET-30","Component List","Phase 2","stacks/40-phase2-connectivity","Implemented"
"NET-31","Component List","Phase 2","stacks/40-phase2-connectivity","Implemented"
"NET-32","Component List","Phase 2","stacks/40-phase2-connectivity","Implemented"
"NET-33","Component List","Phase 2","stacks/41-cloudflare-ingress","Implemented with tunnel contract"
"NET-34","Component List","Phase 2","stacks/41-cloudflare-ingress","Implemented with Zero Trust contract"
"NET-35","Component List","Phase 2","stacks/40-phase2-connectivity","Implemented"
"NET-36","Component List","Phase 1","stacks/21-palo-alto","Operational contract"
"NET-37","Component List","Phase 1","stacks/21-palo-alto","Implemented"
"NET-38","Component List","Phase 1","carrier and Equinix routing contract","Operational contract"
"NET-39","Component List","Phase 2","stacks/30-workload-spoke and routing contract","Reusable input"
"NET-40","Component List","Phase 2","stacks/41-cloudflare-ingress","Implemented with failover contract"
"NET-41","Deployment Order","Phase 1","stacks/20-connectivity","Reusable subnet input"
"NET-42","Deployment Order","Phase 1","stacks/20-connectivity","Reusable subnet input"
"NET-43","Deployment Order","Phase 1","stacks/20-connectivity or stacks/30-workload-spoke","Reusable input"
"NET-44","Deployment Order","Phase 1","stacks/24-expressroute","Operational prerequisite"
"SEC-01","Component List","Phase 1","stacks/10-platform and stacks/51-operations","Implemented with authorization contract"
"SEC-02","Component List","Phase 1","stacks/10-platform","Implemented with connector contract"
"SEC-03","Component List","Phase 2","stacks/51-operations","Operational contract"
"SEC-04","Component List","Phase 2","stacks/51-operations","Operational contract"
"SEC-05","Component List","Phase 1","stacks/06-subscription-baseline and stacks/10-platform","Implemented"
"SEC-06","Component List","Phase 2","stacks/51-operations","Operational contract"
"SEC-07","Component List","Phase 1","stacks/10-platform","Implemented"
"SEC-08","Component List","Phase 2","stacks/50-phase2-data-protection","Implemented"
"SEC-09","Component List","Phase 1","stacks/00-governance","Implemented"
"SEC-10","Component List","Phase 1","stacks/00-governance","Implemented"
"SEC-11","Component List","Phase 2","stacks/51-operations","Operational contract"
"SEC-12","Component List","Phase 1","stacks/20-connectivity","Implemented"
"SEC-13","Component List","Phase 2","stacks/51-operations","Operational contract"
"SEC-14","Component List","Phase 2","stacks/51-operations","Operational contract"
"OBS-01","Component List","Phase 1","stacks/10-platform","Implemented"
"OBS-02","Component List","Phase 1","diagnostic modules across stacks","Implemented"
"OBS-03","Component List","Phase 1","stacks/06-subscription-baseline","Implemented"
"OBS-04","Component List","Phase 2","stacks/51-operations","Implemented"
"OBS-05","Component List","Phase 2","stacks/50-phase2-data-protection","Implemented"
"OBS-06","Component List","Phase 2","stacks/51-operations","Operational contract"
"OBS-07","Component List","Phase 2","stacks/51-operations","Operational contract"
"OBS-08","Component List","Phase 2","stacks/51-operations","Operational contract"
"OBS-10","Deployment Order","Phase 1","enterprise tooling reachability contract","Operational contract"
"PLT-01","Component List","Phase 1","stacks/10-platform","Implemented"
